DBCODE,ENTITY,REACH,SERIES,TEST,DATANUM,DATE,TIME,CONCEN,MASSFLUX,DISCHARGE
HF011,2,"WS3",Late,1,1,2001-04-21,35880,0.460,12.62,27.5
HF011,2,"WS3",Late,1,2,2001-04-21,37680,0.420,11.53,27.5
HF011,2,"WS3",Late,1,3,2001-04-21,39480,0.390,10.70,27.5
HF011,2,"WS3",Late,1,4,2001-04-21,41280,0.370,10.15,27.5
HF011,2,"WS3",Late,1,5,2001-04-21,43080,0.350,9.60,27.5
HF011,2,"WS3",Late,1,6,2001-04-21,44880,0.340,9.33,27.5
HF011,2,"WS3",Late,1,7,2001-04-21,46680,0.300,8.23,27.5
HF011,2,"WS3",Late,1,8,2001-04-21,48480,0.280,7.68,27.5
HF011,2,"WS3",Late,1,9,2001-04-22,50280,0.260,7.00,27.0
HF011,2,"WS3",Late,1,10,2001-04-22,52080,0.260,7.00,27.0
HF011,2,"WS3",Late,1,11,2001-04-22,53880,0.240,6.46,27.0
HF011,2,"WS3",Late,1,12,2001-04-22,55680,0.230,6.19,27.0
HF011,2,"WS3",Late,1,13,2001-04-22,57480,0.250,6.73,27.0
HF011,2,"WS3",Late,1,14,2001-04-22,59280,0.220,5.92,27.0
HF011,2,"WS3",Late,1,15,2001-04-22,61080,0.210,5.65,27.0
HF011,2,"WS3",Late,1,16,2001-04-22,62880,0.210,5.65,27.0
HF011,2,"WS3",Late,1,17,2001-04-22,64680,0.190,5.12,27.0
HF011,2,"WS3",Late,1,18,2001-04-22,66480,0.180,4.85,27.0
HF011,2,"WS3",Late,1,19,2001-04-22,68280,0.150,4.04,27.0
HF011,2,"WS3",Late,1,20,2001-04-22,70080,0.170,4.58,27.0
HF011,2,"WS3",Late,1,21,2001-04-22,71880,0.150,4.04,27.0
HF011,2,"WS3",Late,1,22,2001-04-22,73680,0.140,3.77,27.0
HF011,2,"WS3",Late,1,23,2001-04-22,75480,0.140,3.69,27.0
HF011,2,"WS3",Late,1,24,2001-04-22,77280,0.240,6.46,27.0
HF011,2,"WS3",Late,1,25,2001-04-22,79080,0.140,3.63,27.0
HF011,2,"WS3",Late,1,26,2001-04-22,80880,0.140,3.71,27.0
HF011,2,"WS3",Late,1,27,2001-04-22,82680,0.150,3.93,27.0
HF011,2,"WS3",Late,1,28,2001-04-22,84480,0.140,3.77,27.0
HF011,2,"WS3",Late,1,29,2001-04-22,86280,0.100,2.72,27.0
HF011,2,"WS3",Late,1,30,2001-04-22,88080,0.120,3.15,27.0
HF011,2,"WS3",Late,1,31,2001-04-22,89880,0.120,3.20,26.5
HF011,2,"WS3",Late,1,32,2001-04-22,91680,0.110,2.80,26.0
HF011,2,"WS3",Late,1,33,2001-04-22,93480,0.110,2.83,26.0
HF011,2,"WS3",Late,1,34,2001-04-22,95280,0.110,2.83,26.0
HF011,2,"WS3",Late,1,35,2001-04-22,97080,0.110,2.94,26.0
HF011,2,"WS3",Late,1,36,2001-04-22,98880,0.110,2.86,26.0
HF011,2,"WS3",Late,1,37,2001-04-22,100740,0.120,3.17,26.0
HF011,2,"WS3",Late,1,38,2001-04-22,122340,0.110,2.85,25.5
HF011,2,"WS3",Late,1,39,2001-04-22,143940,0.080,1.83,24.5
HF011,2,"WS3",Late,1,40,2001-04-22,165540,0.040,0.98,23.5
HF011,2,"WS3",Late,1,41,2001-04-22,187140,0.060,1.34,23.5
HF011,2,"WS3",Late,1,42,2001-04-22,208740,0.050,1.27,23.5
HF011,2,"WS3",Late,1,43,2001-04-22,230340,0.040,0.94,23.5
HF011,2,"WS3",Late,1,44,2001-04-22,251940,0.020,0.51,23.5
HF011,2,"WS3",Late,1,45,2001-04-22,273540,0.030,0.75,23.5
HF011,2,"WS3",Late,1,46,2001-04-22,295140,0.020,0.36,22.8
HF011,2,"WS3",Late,1,47,2001-04-22,316740,0.000,-0.03,22.8
HF011,2,"WS3",Late,1,48,2001-04-22,338340,0.000,-0.03,21.5
HF011,2,"WS3",Late,1,49,2001-04-22,359940,0.010,0.10,21.5
HF011,2,"WS3",Late,1,50,2001-04-22,381540,0.000,0.08,21.5
HF011,2,"WS3",Late,1,51,2001-04-22,403140,0.000,0.08,21.5
HF011,2,"WS3",Late,1,52,2001-04-22,424740,0.000,-0.07,21.1
HF011,2,"WS3",Late,1,53,2001-04-22,446340,0.000,-0.05,21.1
HF011,2,"WS3",Late,1,54,2001-04-22,467940,0.000,0.06,20.4
HF011,2,"WS3",Late,1,55,2001-04-22,489540,0.000,-0.07,20.4
HF011,2,"WS3",Late,1,56,2001-04-22,511140,0.000,-0.08,19.8
